freq,word
12,la
10,cucaracha
4,ya
9,no
4,puede
4,caminar
8,porque
5,tiene
7,le
4,falta
6,una
4,pata
2,para
2,andar
1,grande
4,se
1,pasea
3,en
3,cocina
3,y
2,chancla
6,de
2,mi
1,madre
2,ha
2,quitado
2,patita
2,esta
1,coja
2,nunca
1,da
1,por
1,vencida
3,aunque
1,falte
1,baila
1,siempre
1,tanta
1,mala
1,pobre
1,orita
1,que
1,padre
1,con
1,su
1,otra
5,las
3,dos
3,patitas
3,atras
1,enfadada
1,muy
1,molesta
1,llamo
1,a
1,todas
1,sus
1,amigas
1,ay
1,pronto
1,haremos
1,fiesta
1,medio
2,cucarachas
1,paran
1,bailar
1,tengan
1,les
1,falten
1,acabo
